#vtu   mu0 Hext(T)       J.h(T)      Jx(T)      Jy(T)      Jz(T)    e(J/m3) e_ms(J/m3) e_ex(J/m3) e_an(J/m3) e_ze(J/m3)
000 -2.976590e-02 -9.91789e-01 -1.421e-02 -9.917e-01  2.698e-04 -1.822e+04  5.233e+03  4.400e+01  0.000e+00 -2.349e+04
000 -2.971590e-02 -9.91789e-01 -1.421e-02 -9.917e-01  2.698e-04 -1.818e+04  5.233e+03  4.400e+01  0.000e+00 -2.345e+04
000 -2.966590e-02 -9.91789e-01 -1.421e-02 -9.917e-01  2.698e-04 -1.814e+04  5.233e+03  4.400e+01  0.000e+00 -2.341e+04
000 -2.961590e-02 -9.91588e-01 -1.424e-02 -9.915e-01  2.675e-04 -1.810e+04  5.228e+03  4.447e+01  0.000e+00 -2.337e+04
000 -2.956590e-02 -9.91588e-01 -1.424e-02 -9.915e-01  2.675e-04 -1.806e+04  5.228e+03  4.447e+01  0.000e+00 -2.333e+04
000 -2.951590e-02 -9.91588e-01 -1.424e-02 -9.915e-01  2.675e-04 -1.802e+04  5.228e+03  4.447e+01  0.000e+00 -2.329e+04
000 -2.946590e-02 -9.91588e-01 -1.424e-02 -9.915e-01  2.675e-04 -1.798e+04  5.228e+03  4.447e+01  0.000e+00 -2.325e+04
000 -2.941590e-02 -9.91380e-01 -1.427e-02 -9.913e-01  2.694e-04 -1.794e+04  5.223e+03  4.481e+01  0.000e+00 -2.321e+04
000 -2.936590e-02 -9.91380e-01 -1.427e-02 -9.913e-01  2.694e-04 -1.790e+04  5.223e+03  4.481e+01  0.000e+00 -2.317e+04
000 -2.931590e-02 -9.91380e-01 -1.427e-02 -9.913e-01  2.694e-04 -1.786e+04  5.223e+03  4.481e+01  0.000e+00 -2.313e+04
000 -2.926590e-02 -9.91222e-01 -1.429e-02 -9.911e-01  2.691e-04 -1.782e+04  5.219e+03  4.508e+01  0.000e+00 -2.308e+04
000 -2.921590e-02 -9.91222e-01 -1.429e-02 -9.911e-01  2.691e-04 -1.778e+04  5.219e+03  4.508e+01  0.000e+00 -2.305e+04
000 -2.916590e-02 -9.91222e-01 -1.429e-02 -9.911e-01  2.691e-04 -1.774e+04  5.219e+03  4.508e+01  0.000e+00 -2.301e+04
000 -2.911590e-02 -9.91078e-01 -1.432e-02 -9.910e-01  2.681e-04 -1.770e+04  5.215e+03  4.543e+01  0.000e+00 -2.296e+04
000 -2.906590e-02 -9.91078e-01 -1.432e-02 -9.910e-01  2.681e-04 -1.766e+04  5.215e+03  4.543e+01  0.000e+00 -2.292e+04
000 -2.901590e-02 -9.91078e-01 -1.432e-02 -9.910e-01  2.681e-04 -1.762e+04  5.215e+03  4.543e+01  0.000e+00 -2.288e+04
000 -2.896590e-02 -9.90935e-01 -1.434e-02 -9.908e-01  2.682e-04 -1.758e+04  5.212e+03  4.566e+01  0.000e+00 -2.284e+04
000 -2.891590e-02 -9.90935e-01 -1.434e-02 -9.908e-01  2.682e-04 -1.754e+04  5.212e+03  4.566e+01  0.000e+00 -2.280e+04
000 -2.886590e-02 -9.90935e-01 -1.434e-02 -9.908e-01  2.682e-04 -1.751e+04  5.212e+03  4.566e+01  0.000e+00 -2.276e+04
000 -2.881590e-02 -9.90748e-01 -1.437e-02 -9.907e-01  2.682e-04 -1.747e+04  5.207e+03  4.599e+01  0.000e+00 -2.272e+04
000 -2.876590e-02 -9.90748e-01 -1.437e-02 -9.907e-01  2.682e-04 -1.743e+04  5.207e+03  4.599e+01  0.000e+00 -2.268e+04
000 -2.871590e-02 -9.90748e-01 -1.437e-02 -9.907e-01  2.682e-04 -1.739e+04  5.207e+03  4.599e+01  0.000e+00 -2.264e+04
000 -2.866590e-02 -9.90583e-01 -1.440e-02 -9.905e-01  2.687e-04 -1.735e+04  5.203e+03  4.633e+01  0.000e+00 -2.260e+04
000 -2.861590e-02 -9.90583e-01 -1.440e-02 -9.905e-01  2.687e-04 -1.731e+04  5.203e+03  4.633e+01  0.000e+00 -2.256e+04
000 -2.856590e-02 -9.90583e-01 -1.440e-02 -9.905e-01  2.687e-04 -1.727e+04  5.203e+03  4.633e+01  0.000e+00 -2.252e+04
000 -2.851590e-02 -9.90415e-01 -1.443e-02 -9.903e-01  2.671e-04 -1.723e+04  5.199e+03  4.662e+01  0.000e+00 -2.247e+04
000 -2.846590e-02 -9.90415e-01 -1.443e-02 -9.903e-01  2.671e-04 -1.719e+04  5.199e+03  4.662e+01  0.000e+00 -2.244e+04
000 -2.841590e-02 -9.90415e-01 -1.443e-02 -9.903e-01  2.671e-04 -1.715e+04  5.199e+03  4.662e+01  0.000e+00 -2.240e+04
000 -2.836590e-02 -9.90241e-01 -1.446e-02 -9.901e-01  2.685e-04 -1.711e+04  5.195e+03  4.696e+01  0.000e+00 -2.235e+04
000 -2.831590e-02 -9.90241e-01 -1.446e-02 -9.901e-01  2.685e-04 -1.707e+04  5.195e+03  4.696e+01  0.000e+00 -2.231e+04
000 -2.826590e-02 -9.90241e-01 -1.446e-02 -9.901e-01  2.685e-04 -1.703e+04  5.195e+03  4.696e+01  0.000e+00 -2.227e+04
000 -2.821590e-02 -9.90055e-01 -1.449e-02 -9.900e-01  2.669e-04 -1.699e+04  5.190e+03  4.725e+01  0.000e+00 -2.223e+04
000 -2.816590e-02 -9.90055e-01 -1.449e-02 -9.900e-01  2.670e-04 -1.695e+04  5.190e+03  4.725e+01  0.000e+00 -2.219e+04
000 -2.811590e-02 -9.90011e-01 -1.450e-02 -9.899e-01  2.667e-04 -1.691e+04  5.189e+03  4.737e+01  0.000e+00 -2.215e+04
000 -2.806590e-02 -9.90011e-01 -1.450e-02 -9.899e-01  2.667e-04 -1.687e+04  5.189e+03  4.737e+01  0.000e+00 -2.211e+04
000 -2.801590e-02 -9.89827e-01 -1.453e-02 -9.897e-01  2.681e-04 -1.684e+04  5.185e+03  4.772e+01  0.000e+00 -2.207e+04
000 -2.796590e-02 -9.89827e-01 -1.453e-02 -9.897e-01  2.681e-04 -1.680e+04  5.185e+03  4.772e+01  0.000e+00 -2.203e+04
000 -2.791590e-02 -9.89827e-01 -1.453e-02 -9.897e-01  2.681e-04 -1.676e+04  5.185e+03  4.772e+01  0.000e+00 -2.199e+04
000 -2.786590e-02 -9.89636e-01 -1.457e-02 -9.895e-01  2.674e-04 -1.672e+04  5.180e+03  4.804e+01  0.000e+00 -2.195e+04
000 -2.781590e-02 -9.89636e-01 -1.457e-02 -9.895e-01  2.674e-04 -1.668e+04  5.180e+03  4.804e+01  0.000e+00 -2.191e+04
000 -2.776590e-02 -9.89636e-01 -1.457e-02 -9.895e-01  2.674e-04 -1.664e+04  5.180e+03  4.804e+01  0.000e+00 -2.187e+04
000 -2.771590e-02 -9.89492e-01 -1.459e-02 -9.894e-01  2.681e-04 -1.660e+04  5.177e+03  4.831e+01  0.000e+00 -2.182e+04
000 -2.766590e-02 -9.89492e-01 -1.459e-02 -9.894e-01  2.681e-04 -1.656e+04  5.177e+03  4.831e+01  0.000e+00 -2.178e+04
000 -2.761590e-02 -9.89349e-01 -1.462e-02 -9.893e-01  2.675e-04 -1.652e+04  5.173e+03  4.853e+01  0.000e+00 -2.174e+04
000 -2.756590e-02 -9.89349e-01 -1.462e-02 -9.893e-01  2.675e-04 -1.648e+04  5.173e+03  4.853e+01  0.000e+00 -2.170e+04
000 -2.751590e-02 -9.89349e-01 -1.462e-02 -9.893e-01  2.675e-04 -1.644e+04  5.173e+03  4.853e+01  0.000e+00 -2.166e+04
000 -2.746590e-02 -9.89151e-01 -1.466e-02 -9.891e-01  2.675e-04 -1.640e+04  5.168e+03  4.891e+01  0.000e+00 -2.162e+04
000 -2.741590e-02 -9.89151e-01 -1.466e-02 -9.891e-01  2.675e-04 -1.636e+04  5.168e+03  4.891e+01  0.000e+00 -2.158e+04
000 -2.736590e-02 -9.89151e-01 -1.466e-02 -9.891e-01  2.675e-04 -1.632e+04  5.168e+03  4.891e+01  0.000e+00 -2.154e+04
000 -2.731590e-02 -9.88951e-01 -1.470e-02 -9.889e-01  2.666e-04 -1.628e+04  5.164e+03  4.925e+01  0.000e+00 -2.150e+04
000 -2.726590e-02 -9.88951e-01 -1.470e-02 -9.889e-01  2.666e-04 -1.624e+04  5.164e+03  4.925e+01  0.000e+00 -2.146e+04
000 -2.721590e-02 -9.88951e-01 -1.470e-02 -9.889e-01  2.666e-04 -1.621e+04  5.164e+03  4.925e+01  0.000e+00 -2.142e+04
000 -2.716590e-02 -9.88752e-01 -1.474e-02 -9.887e-01  2.669e-04 -1.617e+04  5.159e+03  4.959e+01  0.000e+00 -2.137e+04
