#mammos csv v2
#----------------------------------------
# MaMMoS OOMMF sweeps for axis 'hard'.
# Source: MaMMoS_benchmark_OOMMF_sweeps.csv
# H is the external applied field (from bParallel_mT / mu0).
# Constants: mu0=4*pi*1e-7 (H/m), Ms=800000.0 A/m
# 
#----------------------------------------
#,,
#,,
#,,
H,M,M_over_Ms
-2030.597549768451,-160843.55555218298,-0.2010544444402287
-1221.102580602388,-96920.49680663574,-0.12115062100829467
-411.60761143632476,-32694.29683464344,-0.0408678710433043
397.88735772973837,31630.85215279325,0.03953856519099156
1207.3823268958015,95857.98286289275,0.11982247857861594
2016.8772960618649,159783.52856358074,0.19972941070447592
2826.3722652279275,223157.47307306412,0.27894684134133013
3635.86723439399,285600.68894506514,0.3570008611813314
4445.362203639632,346468.10026635736,0.4330851253329467
5254.857172805695,404600.977563901,0.5057512219548762
6064.352141971757,458060.75354984566,0.5725759419373071
6873.84711113782,504513.1543992192,0.630641442999024
7683.342080303884,542715.9017741407,0.6783948772176758
8492.837049469948,573228.5741094499,0.7165357176368123
9302.33201863601,597403.6463974554,0.7467545579968192
10111.826987802073,616908.7191445477,0.7711358989306847
10921.321956968137,633069.9381816449,0.7913374227270561
11730.8169261342,646743.7979040102,0.8084297473800127
12540.311895379838,658480.8641999433,0.8231010802499291
13349.806864545902,668641.2684979117,0.8358015856223897
14159.301833711965,677495.2172166345,0.8468690215207931
14968.79680287803,685271.1666931161,0.856588958366395
15778.291772044093,692161.6945676528,0.8652021182095659
16587.786741210155,698322.8753394128,0.872903594174266
17397.28171037622,703876.3504152041,0.879845438019005
18206.776679542283,708916.3033135874,0.8861453791419843
19016.271648708345,713516.5054542077,0.8918956318177595
19825.766617874408,717735.8679596722,0.8971698349495904
20635.261587120047,721622.6024432302,0.9020282530540378
21444.756556286113,725217.1415019769,0.9065214268774711
22254.251525452175,728553.9444092608,0.910692430511576
23063.746494618237,731662.8290824025,0.9145785363530031
23873.2414637843,734569.9074362954,0.9182123842953692
