#mammos csv v2
#----------------------------------------
# MaMMoS OOMMF sweeps for axis 'hard'.
# Source: MaMMoS_benchmark_OOMMF_sweeps.csv
# H is the external applied field (from bParallel_mT / mu0).
# Constants: mu0=4*pi*1e-7 (H/m), Ms=800000.0 A/m
# 
#----------------------------------------
#,,
#,,
#,,
H,M,M_over_Ms
0.0,13.713665249033195,1.7142081561291493e-05
824.1952410002326,65479.80226365159,0.08184975282956448
1648.3904820004652,130735.73193223696,0.1634196649152962
2472.5857230006977,195548.08006315617,0.24443510007894523
3296.780964080508,259590.45122165157,0.3244880640270645
4120.97620508074,322324.9757071211,0.40290621963390133
4945.1714460809735,382789.3892850384,0.478486736606298
5769.366687081207,439273.1036988836,0.5490913796236045
6593.561928081438,489342.13049338624,0.6116776631167328
7417.757169081671,531082.156877826,0.6638526960972825
8241.952410081904,564522.9704505068,0.7056537130631335
9066.147651161715,590905.944753458,0.7386324309418225
9890.342892161947,611949.9921650334,0.7649374902062916
10714.53813316218,629205.9451091728,0.7865074313864661
11538.733374162413,643691.070495496,0.80461383811937
12362.928615162644,656054.4044896783,0.8200680056120979
13187.123856162876,666712.085622126,0.8333901070276575
14011.31909716311,675963.4770196674,0.8449543462745842
14835.51433824292,684056.407279403,0.8550705090992536
15659.709579243154,691201.2483600414,0.8640015604500517
16483.904820243384,697568.4830577489,0.8719606038221861
17308.10006124362,703291.203977489,0.8791140049718613
18132.295302243852,708471.9623681103,0.8855899529601379
18956.490543244083,713190.4612744092,0.8914880765930115
19780.685784244317,717510.0421355669,0.8968875526694586
20604.881025324124,721482.2440172274,0.9018528050215343
21429.07626632436,725150.0743251552,0.906437592906444
22253.27150732459,728550.0453518874,0.9106875566898592
23077.466748324827,731713.7162493996,0.9146421453117495
23873.2414637843,734569.9049693939,0.9182123812117423
23063.979041316856,731663.7066627587,0.9145796333284484
22254.71661876984,728555.8031002636,0.9106947538753295
21445.45419630239,725220.132421245,0.9065251655265563
20636.191773755374,721626.9305027528,0.902033663128441
19826.92935128793,717741.6795024192,0.897177099378024
19017.666928740906,713524.1076492193,0.8919051345615242
18208.404506273466,708926.0155848347,0.8861575194810434
17399.142083806022,703888.5253704633,0.8798606567130791
16589.879661259,698338.0462273207,0.8729225577841508
15780.617238791554,692180.4898910797,0.8652256123638496
14971.354816244535,685294.3528626905,0.8566179410783631
14162.09239377709,677523.8903324496,0.846904862915562
13352.82997123007,668676.6580319027,0.8358458225398784
12543.567548762629,658524.7177529627,0.8231558971912034
11734.305126295183,646798.5363818976,0.808498170477372
10925.042703748162,633138.3378832276,0.7914229223540346
10115.780281280719,616994.8074856607,0.7712435093570759
9306.517858733698,597515.5025604746,0.7468943782005932
8497.255436266256,573376.9194079619,0.7167211492599523
7687.993013719234,542913.1498958193,0.6786414373697741
6878.73059125179,504769.0406927784,0.630961300865973
6069.468168784348,458378.61923458334,0.5729732740432292
5260.205746237326,404972.0081616037,0.5062150102020047
