#vtu   mu0 Hext(T)       J.h(T)      Jx(T)      Jy(T)      Jz(T)    e(J/m3) e_ms(J/m3) e_ex(J/m3) e_an(J/m3) e_ze(J/m3)
000 -2.976590e-02 -9.85292e-01 -8.198e-01 -5.736e-01  3.452e-05 -2.089e+04  2.435e+03  1.411e+01  0.000e+00 -2.334e+04
000 -2.971590e-02 -9.85200e-01 -8.200e-01 -5.733e-01  3.273e-05 -2.085e+04  2.433e+03  1.413e+01  0.000e+00 -2.330e+04
000 -2.966590e-02 -9.85200e-01 -8.200e-01 -5.733e-01  3.270e-05 -2.081e+04  2.433e+03  1.413e+01  0.000e+00 -2.326e+04
000 -2.961590e-02 -9.85086e-01 -8.203e-01 -5.728e-01  3.394e-05 -2.077e+04  2.430e+03  1.414e+01  0.000e+00 -2.322e+04
000 -2.956590e-02 -9.85086e-01 -8.203e-01 -5.728e-01  3.392e-05 -2.073e+04  2.430e+03  1.414e+01  0.000e+00 -2.318e+04
000 -2.951590e-02 -9.84988e-01 -8.206e-01 -5.724e-01  3.246e-05 -2.069e+04  2.428e+03  1.417e+01  0.000e+00 -2.314e+04
000 -2.946590e-02 -9.84988e-01 -8.206e-01 -5.724e-01  3.245e-05 -2.065e+04  2.428e+03  1.417e+01  0.000e+00 -2.310e+04
000 -2.941590e-02 -9.84892e-01 -8.208e-01 -5.720e-01  3.391e-05 -2.061e+04  2.426e+03  1.417e+01  0.000e+00 -2.305e+04
000 -2.936590e-02 -9.84892e-01 -8.208e-01 -5.720e-01  3.393e-05 -2.058e+04  2.426e+03  1.417e+01  0.000e+00 -2.302e+04
000 -2.931590e-02 -9.84778e-01 -8.211e-01 -5.715e-01  3.293e-05 -2.054e+04  2.423e+03  1.418e+01  0.000e+00 -2.297e+04
000 -2.926590e-02 -9.84778e-01 -8.211e-01 -5.715e-01  3.307e-05 -2.050e+04  2.423e+03  1.418e+01  0.000e+00 -2.293e+04
000 -2.921590e-02 -9.84673e-01 -8.214e-01 -5.711e-01  3.165e-05 -2.046e+04  2.421e+03  1.421e+01  0.000e+00 -2.289e+04
000 -2.916590e-02 -9.84673e-01 -8.214e-01 -5.711e-01  3.164e-05 -2.042e+04  2.421e+03  1.421e+01  0.000e+00 -2.285e+04
000 -2.911590e-02 -9.84565e-01 -8.217e-01 -5.707e-01  3.308e-05 -2.038e+04  2.418e+03  1.422e+01  0.000e+00 -2.281e+04
000 -2.906590e-02 -9.84565e-01 -8.217e-01 -5.707e-01  3.309e-05 -2.034e+04  2.418e+03  1.422e+01  0.000e+00 -2.277e+04
000 -2.901590e-02 -9.84465e-01 -8.220e-01 -5.703e-01  3.238e-05 -2.030e+04  2.416e+03  1.425e+01  0.000e+00 -2.273e+04
000 -2.896590e-02 -9.84426e-01 -8.221e-01 -5.701e-01  3.273e-05 -2.026e+04  2.415e+03  1.424e+01  0.000e+00 -2.269e+04
000 -2.891590e-02 -9.84360e-01 -8.222e-01 -5.699e-01  3.198e-05 -2.022e+04  2.413e+03  1.426e+01  0.000e+00 -2.265e+04
000 -2.886590e-02 -9.84360e-01 -8.222e-01 -5.699e-01  3.199e-05 -2.018e+04  2.413e+03  1.426e+01  0.000e+00 -2.261e+04
